Date,Time,Open,High,Low,Close,Vol,Dev,M5,Highest,Manual_Highest,,Lowest,Manual_Lowest,Total_Vol,Price_Level,One_L,One_H,One_V,One_R,One_T,Two_L,Two_H,Two_V,Two_R,Two_T,Three_L,Three_H,Three_V,Three_R,Three_T,Four_L,Four_H,Four_V,Four_R,Four_T,Five_L,Five_H,Five_V,Five_R,Five_T,Six_L,Six_H,Six_V,Six_R,Six_T,Seven_L,Seven_H,Seven_V,Seven_R,Seven_T,Eight_L,Eight_H,Eight_V,Eight_R,Eight_T,Nine_L,Nine_H,Nine_V,Nine_R,Nine_T,Ten_L,Ten_H,Ten_V,Ten_R,Ten_T
2020-04-21 08:00:00+00:00,2020-04-21T08:00:00.000000000Z,1.08306,1.08472,1.08202,1.08337,4996,0.0027,1.083598,1.11476,1.11476,0,1.07684,1.07684,1691127,0.003792,1.07684,1.080632,0,0,0,1.080632,1.084424,4996,3.92105383,66310,1.084424,1.088216,0,21.97504977,371626,1.088216,1.092008,0,10.37408781,175439,1.092008,1.0958,0,14.16002465,239464,1.0958,1.099592,0,9.675500421,163625,1.099592,1.103384,0,4.560627321,77126,1.103384,1.107176,0,0,0,1.107176,1.110968,0,0,0,1.110968,1.11476,0,0,0
2020-04-21 09:00:00+00:00,2020-04-21T09:00:00.000000000Z,1.08376,1.08534,1.08305,1.084195,7119,0.00229,1.083747,1.11476,1.11476,0,1.07684,1.07684,1690126,0.003792,1.07684,1.080632,0,0,0,1.080632,1.084424,7119,4.344587327,73429,1.084424,1.088216,0,21.9880648,371626,1.088216,1.092008,0,10.38023201,175439,1.092008,1.0958,0,14.16841111,239464,1.0958,1.099592,0,9.681230867,163625,1.099592,1.103384,0,4.563328415,77126,1.103384,1.107176,0,0,0,1.107176,1.110968,0,0,0,1.110968,1.11476,0,0,0
2020-04-21 10:00:00+00:00,2020-04-21T10:00:00.000000000Z,1.08326,1.0839,1.0823,1.0831,5496,0.0016,1.083659,1.11476,1.11476,0,1.07684,1.07684,1688662,0.003792,1.07684,1.080632,0,0,0,1.080632,1.084424,5496,4.67381868,78925,1.084424,1.088216,0,22.00712754,371626,1.088216,1.092008,0,10.38923124,175439,1.092008,1.0958,0,14.18069454,239464,1.0958,1.099592,0,9.689624093,163625,1.099592,1.103384,0,4.567284631,77126,1.103384,1.107176,0,0,0,1.107176,1.110968,0,0,0,1.110968,1.11476,0,0,0
2020-04-21 11:00:00+00:00,2020-04-21T11:00:00.000000000Z,1.08326,1.08384,1.08254,1.08319,4719,0.0013,1.083477,1.11476,1.11476,0,1.07684,1.07684,1684438,0.003792,1.07684,1.080632,0,0,0,1.080632,1.084424,4719,4.965691821,83644,1.084424,1.088216,0,22.06231396,371626,1.088216,1.092008,0,10.41528391,175439,1.092008,1.0958,0,14.21625492,239464,1.0958,1.099592,0,9.713922388,163625,1.099592,1.103384,0,4.578737834,77126,1.103384,1.107176,0,0,0,1.107176,1.110968,0,0,0,1.110968,1.11476,0,0,0
2020-04-21 12:00:00+00:00,2020-04-21T12:00:00.000000000Z,1.08325,1.0844,1.08246,1.08343,6111,0.00194,1.083457,1.11448,1.11448,0,1.07684,1.07684,1688401,0.003764,1.07684,1.080604,0,0,0,1.080604,1.084368,6111,5.315976477,89755,1.084368,1.088132,0,22.01052949,371626,1.088132,1.091896,0,10.39083725,175439,1.091896,1.09566,0,14.18288665,239464,1.09566,1.099424,0,9.691121955,163625,1.099424,1.103188,0,4.567990661,77126,1.103188,1.106952,0,0,0,1.106952,1.110716,0,0,0,1.110716,1.11448,0,0,0
2020-04-21 13:00:00+00:00,2020-04-21T13:00:00.000000000Z,1.08292,1.08746,1.08165,1.084555,9688,0.00581,1.083694,1.11448,1.11448,0,1.07684,1.07684,1697795,0.003764,1.07684,1.080604,0,0,0,1.080604,1.084368,0,5.286562865,89755,1.084368,1.088132,9688,22.45936641,381314,1.088132,1.091896,0,10.33334413,175439,1.091896,1.09566,0,14.1044119,239464,1.09566,1.099424,0,9.637500405,163625,1.099424,1.103188,0,4.542715699,77126,1.103188,1.106952,0,0,0,1.106952,1.110716,0,0,0,1.110716,1.11448,0,0,0
2020-04-21 14:00:00+00:00,2020-04-21T14:00:00.000000000Z,1.08707,1.08804,1.08436,1.0862,10488,0.00368,1.084095,1.11448,1.11448,0,1.07684,1.07684,1706947,0.003764,1.07684,1.080604,0,0,0,1.080604,1.084368,0,5.258218328,89755,1.084368,1.088132,10488,22.95337817,391802,1.088132,1.091896,0,10.27794067,175439,1.091896,1.09566,0,14.02878941,239464,1.09566,1.099424,0,9.585827797,163625,1.099424,1.103188,0,4.518359387,77126,1.103188,1.106952,0,0,0,1.106952,1.110716,0,0,0,1.110716,1.11448,0,0,0
2020-04-21 15:00:00+00:00,2020-04-21T15:00:00.000000000Z,1.08592,1.08732,1.08535,1.086335,6799,0.00197,1.084742,1.11386,1.11386,0,1.07684,1.07684,1711755,0.003702,1.07684,1.080542,0,0,0,1.080542,1.084244,0,5.243448975,89755,1.084244,1.087946,6799,23.28610111,398601,1.087946,1.091648,0,10.24907186,175439,1.091648,1.09535,0,13.98938516,239464,1.09535,1.099052,0,9.558902997,163625,1.099052,1.102754,0,4.505668159,77126,1.102754,1.106456,0,0,0,1.106456,1.110158,0,0,0,1.110158,1.11386,0,0,0
2020-04-21 16:00:00+00:00,2020-04-21T16:00:00.000000000Z,1.0854,1.08616,1.08437,1.085265,5942,0.00179,1.085157,1.11178,1.11178,0,1.07684,1.07684,1713358,0.003494,1.07684,1.080334,0,0,0,1.080334,1.083828,0,5.238543258,89755,1.083828,1.087322,5942,23.61111922,404543,1.087322,1.090816,0,10.23948293,175439,1.090816,1.09431,0,13.97629684,239464,1.09431,1.097804,0,9.549959787,163625,1.097804,1.101298,0,4.501452703,77126,1.101298,1.104792,0,0,0,1.104792,1.108286,0,0,0,1.108286,1.11178,0,0,0
2020-04-21 17:00:00+00:00,2020-04-21T17:00:00.000000000Z,1.08442,1.08504,1.08418,1.08461,4016,0.00086,1.085393,1.11062,1.11062,0,1.07684,1.07684,1713902,0.003378,1.07684,1.080218,0,0,0,1.080218,1.083596,0,5.236880522,89755,1.083596,1.086974,4016,23.83794406,408559,1.086974,1.090352,0,10.23623288,175439,1.090352,1.09373,0,13.9718607,239464,1.09373,1.097108,0,9.546928588,163625,1.097108,1.100486,0,4.500023922,77126,1.100486,1.103864,0,0,0,1.103864,1.107242,0,0,0,1.107242,1.11062,0,0,0
